Time [das],Tension [g],Steps
1014.8296,540,100
1014.9236,540,100
1015.0346,540,100
1015.1277,540,100
1015.2226,540,100
1015.3157,540,100
1015.4106,540,100
1015.5056,540,100
1015.5997,540,100
1015.7357,540,100
1015.8345,540,100
1015.9315,540,100
1016.0245,540,100
1016.1185,540,100
1016.2125,540,100
1016.3125,540,100
1016.4065,540,100
1016.5027,540,100
1016.5967,540,100
1016.6915,540,100
1016.8275,540,100
1016.9226,540,100
1017.0205,540,100
1017.1205,540,100
1017.2165,540,100
1017.3145,540,100
1017.4155,540,100
1017.5116,540,100
1017.6115,540,100
1017.7085,540,100
1017.8025,540,100
1017.9405,540,100
1018.0335,540,100
1018.1314,540,100
1018.2284,540,100
1018.3224,540,100
1018.4154,540,100
1018.5084,540,100
1018.6094,540,100
1018.7044,540,100
1018.7994,540,100
1018.8934,540,100
1019.0294,540,100
1019.1224,540,100
1019.2174,540,100
1019.3124,540,100
1019.4084,540,100
1019.5054,540,100
1019.6034,540,100
1019.7025,540,100
1019.8034,540,100
1019.8964,540,100
1019.9904,540,100
1020.1264,540,100
1020.2215,540,100
1020.3154,540,100
1020.4134,540,100
1020.5075,540,100
1020.6013,540,100
1020.6943,540,100
1020.7873,540,100
1020.8823,540,100
1020.9803,540,100
1021.0753,540,100
1021.2123,540,100
1021.3053,540,100
1021.3994,540,100
1021.4945,540,100
1021.5914,540,100
1021.6863,540,100
1021.7793,540,100
1021.8723,540,100
1021.9653,540,100
1022.0644,540,100
1022.1633,540,100
1022.3053,540,100
1022.4024,540,100
1022.4983,540,100
1022.5953,540,100
1022.6943,540,100
1022.7943,540,100
1022.8923,540,100
1022.9854,540,100
1023.0794,540,100
1023.1734,540,100
1023.2702,540,100
1023.4053,540,100
1023.5002,540,100
1023.5942,540,100
1023.6882,540,100
1023.7812,540,100
1023.8743,540,100
1023.9722,540,100
1024.0722,540,100
1024.1712,540,100
1024.2702,540,100
1024.3653,540,100
1024.5072,540,100
1024.6072,540,100
1024.7052,540,100
1024.8022,540,100
1024.9002,540,100
1024.9981,540,100
1025.0911,540,100
1025.1862,540,100
1025.2791,540,100
1025.3732,540,100
1025.4661,540,100
1025.6033,540,100
1025.7011,540,100
1025.7961,540,100
1025.8883,540,100
1025.9821,540,100
1026.0753,540,100
1026.1711,540,100
1026.2681,540,100
1026.3651,540,100
1026.4591,540,100
1026.5521,540,100
1026.6891,540,100
1026.7841,540,100
1026.8801,540,100
1026.9761,540,100
1027.0691,540,100
1027.1631,540,100
1027.2571,540,100
1027.3513,540,100
1027.449,540,100
1027.5451,540,100
1027.6401,540,100
1027.7781,540,100
1027.876,540,100
1027.969,540,100
1028.067,540,100
1028.1602,540,100
1028.255,540,100
1028.349,540,100
1028.448,540,100
1028.542,540,100
1028.637,540,100
1028.73,540,100
1028.867,540,100
1028.9601,540,100
1029.055,540,100
1029.149,540,100
1029.244,540,100
1029.338,540,100
1029.432,540,100
1029.5251,540,100
1029.624,540,100
1029.723,540,100
1029.8299,540,100
1029.9792,540,100
1030.077,540,100
1030.171,540,100
1030.2689,540,100
1030.3649,540,100
1030.4599,540,100
1030.5539,540,100
1030.6499,540,100
1030.7429,540,100
1030.8409,540,100
1030.9349,540,100
1031.0719,540,100
1031.1649,540,100
1031.2589,540,100
1031.3529,540,100
1031.4511,540,100
1031.5449,540,100
